continent,region,country,year,criminality,criminal_markets,human_trafficking,human_smuggling,arms_trafficking,flora_crimes,fauna_crimes,non_renewable_resource_crimes,heroin_trade,cocaine_trade,cannabis_trade,synthetic_drug_trade,criminal_actors,mafia_groups,criminal_networks,state_embedded_actors,foreign_actors,resilience,political_leadership_governance,government_transparency_accountability,international_cooperation,national_policies_laws,judicial_system_detention,law_enforcement,territorial_integrity,anti_money_laundering,economic_regulatory_capacity,victim_witness_support,prevention,non_state_actors,criminality_avg,criminal_markets_avg,cyber_dependent_crimes,financial_crimes,counterfeit_goods_trade,illicit_trade_excisable_goods,extortion_protection_racketeering,criminal_actors_avg,private_sector_actors,resilience_avg
Oceania,Micronesia,Marshall Islands,2023,,,5.0,2.0,2.0,1.0,7.5,1.0,1.5,2.0,2.5,2.5,,1.0,2.5,3.0,3.0,,7.0,6.5,6.0,6.5,7.0,5.5,6.0,4.5,6.5,3.5,4.0,6.5,2.52,2.73,3.0,3.5,3.0,3.5,1.0,2.3,2.0,5.79
Oceania,Polynesia,Samoa,2023,,,3.5,2.0,3.0,1.5,3.0,2.0,1.0,3.5,5.5,4.0,,1.0,2.5,2.5,2.5,,4.5,5.5,6.0,6.5,6.0,6.5,7.5,5.5,3.0,5.5,6.5,7.0,2.43,2.97,2.5,3.5,4.5,4.0,1.0,1.9,1.0,5.83
Europe,Central & Eastern Europe,Poland,2023,,,5.5,6.0,4.5,2.5,5.0,5.5,4.0,5.0,5.5,7.0,,2.0,6.0,4.5,3.5,,5.5,4.0,7.5,7.0,5.0,6.5,7.5,6.5,6.5,5.0,5.5,4.0,4.48,4.97,5.5,6.0,4.5,5.5,2.5,4.0,4.0,5.88
Oceania,Micronesia,Micronesia (Federated States of),2023,,,5.0,3.0,1.5,1.5,7.0,1.0,1.0,3.5,4.0,3.5,,1.0,4.5,2.5,5.5,,7.0,4.0,7.0,6.0,6.5,6.5,6.0,5.0,4.5,5.5,5.5,7.0,3.0,3.0,2.0,2.5,4.0,4.0,1.5,3.0,1.5,5.88
Asia,South-Eastern Asia,Malaysia,2023,,,7.5,7.5,5.5,6.5,8.0,5.5,7.0,4.0,5.0,7.5,,4.5,5.5,6.0,7.0,,4.5,5.5,7.0,7.5,5.5,5.5,5.5,6.0,7.0,6.0,6.5,4.5,6.23,6.67,8.0,8.0,7.5,7.0,5.5,5.8,6.0,5.92
Europe,Central & Eastern Europe,Croatia,2023,,,5.0,6.5,4.5,4.5,3.5,4.5,5.0,6.5,6.0,5.5,,4.0,6.5,6.0,5.0,,5.5,6.0,7.0,7.0,5.5,6.0,6.5,6.5,5.0,6.0,5.5,4.5,5.15,4.9,4.5,5.5,4.0,4.0,4.0,5.4,5.5,5.92
Americas,South America,Argentina,2023,,,5.0,3.5,3.5,2.0,4.0,2.5,2.0,7.0,7.5,3.0,,5.0,6.0,6.0,5.5,,6.5,4.5,6.0,6.0,5.5,5.5,6.0,7.0,6.0,6.0,5.0,7.5,5.0,4.5,5.5,3.5,7.0,6.5,5.0,5.5,5.0,5.96
Europe,Central & Eastern Europe,Romania,2023,,,6.0,5.5,5.0,6.0,4.5,4.0,5.5,5.5,5.0,5.0,,3.0,5.5,3.5,4.0,,6.0,6.5,7.0,6.0,6.5,6.0,6.5,5.0,5.5,6.0,6.0,5.0,4.58,5.27,6.0,6.0,5.0,6.0,4.0,3.9,3.5,6.0
Europe,Central & Eastern Europe,Slovenia,2023,,,4.0,5.5,4.0,3.0,3.0,2.5,4.0,5.5,5.0,5.0,,3.0,5.0,6.5,5.0,,6.0,5.0,7.0,7.0,6.0,6.0,7.5,5.0,5.0,6.0,6.0,6.0,4.37,4.03,5.0,6.0,3.0,2.0,3.0,4.7,4.0,6.04
Asia,Western Asia,Israel,2023,,,6.0,2.5,6.5,1.5,2.0,5.5,3.0,5.5,6.5,5.5,,5.5,4.0,5.0,4.0,,6.0,5.0,6.5,6.5,5.0,6.5,3.5,7.0,7.5,6.5,6.5,6.5,4.85,5.0,9.0,6.5,5.0,5.0,5.0,4.7,5.0,6.08
